inquiry_type,project_type,service_needed,budget_range,project_timeline,city,preferred_contact,message_length,lead_score
General Feedback,Industrial,Maintenance Program,"₹2,00,000 - ₹10,00,000",1-4 Weeks,Pune,WhatsApp,84,1
Technical Support,Residential,Special Effects & Textures,"Below ₹10,000",1-4 Weeks,Mumbai,Phone,193,0
Dealership Inquiry,Residential,Maintenance Program,"Below ₹10,000",1-4 Weeks,Kochi,Email,111,0
Technical Support,Residential,Commercial Services,"₹50,000 - ₹2,00,000",1-4 Weeks,Bengaluru,Email,322,0
Technical Support,Commercial,Maintenance Program,"Above ₹10,00,000",1-3 Months,Coimbatore,WhatsApp,309,1
Product Inquiry,Commercial,Special Effects & Textures,"Above ₹10,00,000",1-3 Months,Trivandrum,Phone,270,1
Product Inquiry,Residential,Maintenance Program,"₹2,00,000 - ₹10,00,000",1-3 Months,Mumbai,Phone,340,1
Dealership Inquiry,Residential,Interior Solutions,"₹2,00,000 - ₹10,00,000",1-3 Months,Mumbai,Email,305,1
Technical Support,Commercial,Maintenance Program,"₹50,000 - ₹2,00,000",1-4 Weeks,Bengaluru,Phone,305,0
Product Inquiry,Industrial,Commercial Services,"Above ₹10,00,000",1-4 Weeks,Bengaluru,WhatsApp,195,1
Dealership Inquiry,Industrial,Commercial Services,"₹50,000 - ₹2,00,000",1-3 Months,Madurai,Phone,127,0
Bulk Order Inquiry,Residential,Color Consultation,"₹50,000 - ₹2,00,000",1-3 Months,Madurai,Phone,54,0
Dealership Inquiry,Commercial,Special Effects & Textures,"₹2,00,000 - ₹10,00,000",1-4 Weeks,Trivandrum,Phone,55,1
Dealership Inquiry,Commercial,Exterior Solutions,"₹10,000 - ₹50,000",1-4 Weeks,Bengaluru,WhatsApp,247,0
Product Inquiry,Commercial,Commercial Services,"₹10,000 - ₹50,000",1-4 Weeks,Mumbai,Phone,144,0
Bulk Order Inquiry,Commercial,Professional Painting,"₹10,000 - ₹50,000",3+ Months,Pune,WhatsApp,216,0
Dealership Inquiry,Commercial,Professional Painting,"₹10,000 - ₹50,000",1-4 Weeks,Mumbai,Email,176,0
Product Inquiry,Residential,Maintenance Program,"Above ₹10,00,000",3+ Months,Mumbai,Phone,254,1
Other,Commercial,Commercial Services,"₹50,000 - ₹2,00,000",Urgent (Within 1 Week),Kochi,Phone,121,0
Bulk Order Inquiry,Industrial,Exterior Solutions,"₹10,000 - ₹50,000",Urgent (Within 1 Week),Delhi,Email,241,1
Dealership Inquiry,Industrial,Special Effects & Textures,"Below ₹10,000",1-4 Weeks,Kochi,Phone,345,0
Dealership Inquiry,Industrial,Interior Solutions,"₹2,00,000 - ₹10,00,000",1-4 Weeks,Coimbatore,Phone,175,1
Product Inquiry,Industrial,Interior Solutions,"Below ₹10,000",1-3 Months,Bengaluru,Phone,225,0
Dealership Inquiry,Residential,Color Consultation,"₹2,00,000 - ₹10,00,000",1-4 Weeks,Coimbatore,Phone,100,1
Bulk Order Inquiry,Residential,Commercial Services,"₹10,000 - ₹50,000",3+ Months,Trivandrum,Phone,113,0
Dealership Inquiry,Commercial,Commercial Services,"Below ₹10,000",Urgent (Within 1 Week),Kochi,Email,210,1
Dealership Inquiry,Residential,Exterior Solutions,"₹50,000 - ₹2,00,000",1-4 Weeks,Madurai,WhatsApp,203,0
Bulk Order Inquiry,Industrial,Exterior Solutions,"₹50,000 - ₹2,00,000",1-4 Weeks,Madurai,Phone,300,0
General Feedback,Commercial,Commercial Services,"Below ₹10,000",1-4 Weeks,Hyderabad,WhatsApp,96,0
Bulk Order Inquiry,Industrial,Maintenance Program,"₹50,000 - ₹2,00,000",1-3 Months,Madurai,WhatsApp,175,0
Product Inquiry,Industrial,Special Effects & Textures,"Below ₹10,000",1-4 Weeks,Madurai,Phone,308,0
Product Inquiry,Residential,Color Consultation,"₹50,000 - ₹2,00,000",Urgent (Within 1 Week),Kochi,Phone,96,0
General Feedback,Industrial,Exterior Solutions,"₹10,000 - ₹50,000",1-4 Weeks,Chennai,WhatsApp,296,0
Product Inquiry,Industrial,Exterior Solutions,"₹10,000 - ₹50,000",1-4 Weeks,Pune,Email,284,0
General Feedback,Industrial,Exterior Solutions,"₹50,000 - ₹2,00,000",1-4 Weeks,Delhi,Email,175,0
Product Inquiry,Commercial,Special Effects & Textures,"₹10,000 - ₹50,000",3+ Months,Delhi,WhatsApp,192,0
Bulk Order Inquiry,Commercial,Color Consultation,"₹10,000 - ₹50,000",1-4 Weeks,Madurai,WhatsApp,180,0
Dealership Inquiry,Residential,Interior Solutions,"₹2,00,000 - ₹10,00,000",1-4 Weeks,Chennai,Phone,216,1
Other,Industrial,Exterior Solutions,"Below ₹10,000",3+ Months,Delhi,Email,171,0
Bulk Order Inquiry,Residential,Color Consultation,"₹10,000 - ₹50,000",1-3 Months,Madurai,WhatsApp,179,0
Dealership Inquiry,Residential,Special Effects & Textures,"₹10,000 - ₹50,000",1-3 Months,Delhi,Email,311,0
Product Inquiry,Residential,Commercial Services,"₹10,000 - ₹50,000",1-4 Weeks,Mumbai,Phone,110,0
Dealership Inquiry,Commercial,Interior Solutions,"₹2,00,000 - ₹10,00,000",1-4 Weeks,Hyderabad,WhatsApp,142,1
Product Inquiry,Industrial,Special Effects & Textures,"₹2,00,000 - ₹10,00,000",1-3 Months,Chennai,Email,158,1
General Feedback,Commercial,Maintenance Program,"₹2,00,000 - ₹10,00,000",3+ Months,Kochi,Email,58,1
Other,Residential,Interior Solutions,"Above ₹10,00,000",3+ Months,Madurai,WhatsApp,59,1
Product Inquiry,Industrial,Exterior Solutions,"Above ₹10,00,000",1-4 Weeks,Mumbai,WhatsApp,318,1
General Feedback,Industrial,Exterior Solutions,"Below ₹10,000",Urgent (Within 1 Week),Hyderabad,WhatsApp,123,0
Product Inquiry,Industrial,Maintenance Program,"₹50,000 - ₹2,00,000",1-3 Months,Delhi,Email,330,0
Dealership Inquiry,Industrial,Interior Solutions,"₹50,000 - ₹2,00,000",1-4 Weeks,Bengaluru,Phone,258,0
Dealership Inquiry,Residential,Color Consultation,"Below ₹10,000",Urgent (Within 1 Week),Hyderabad,Phone,205,1
Product Inquiry,Industrial,Special Effects & Textures,"₹2,00,000 - ₹10,00,000",3+ Months,Madurai,Email,194,1
Product Inquiry,Commercial,Interior Solutions,"₹10,000 - ₹50,000",1-4 Weeks,Mumbai,Phone,100,0
Dealership Inquiry,Industrial,Color Consultation,"Above ₹10,00,000",3+ Months,Hyderabad,Phone,199,1
Dealership Inquiry,Commercial,Special Effects & Textures,"₹10,000 - ₹50,000",Urgent (Within 1 Week),Madurai,Phone,118,1
General Feedback,Industrial,Maintenance Program,"₹50,000 - ₹2,00,000",1-4 Weeks,Delhi,Email,315,0
Dealership Inquiry,Commercial,Commercial Services,"₹50,000 - ₹2,00,000",1-3 Months,Pune,Email,309,0
Other,Residential,Commercial Services,"Below ₹10,000",1-3 Months,Trivandrum,Email,298,0
Product Inquiry,Industrial,Commercial Services,"₹2,00,000 - ₹10,00,000",1-4 Weeks,Kochi,Email,145,1
Bulk Order Inquiry,Industrial,Exterior Solutions,"₹10,000 - ₹50,000",Urgent (Within 1 Week),Kochi,WhatsApp,107,1
Product Inquiry,Commercial,Interior Solutions,"₹10,000 - ₹50,000",1-3 Months,Chennai,WhatsApp,51,0
Product Inquiry,Industrial,Color Consultation,"Below ₹10,000",1-4 Weeks,Bengaluru,Phone,72,0
Product Inquiry,Commercial,Exterior Solutions,"₹10,000 - ₹50,000",1-3 Months,Kochi,Phone,255,0
Technical Support,Residential,Special Effects & Textures,"₹50,000 - ₹2,00,000",1-3 Months,Pune,Email,316,0
Product Inquiry,Residential,Maintenance Program,"₹50,000 - ₹2,00,000",1-4 Weeks,Chennai,Phone,154,0
General Feedback,Residential,Professional Painting,"₹50,000 - ₹2,00,000",1-4 Weeks,Kochi,Phone,234,0
Product Inquiry,Residential,Maintenance Program,"Below ₹10,000",3+ Months,Coimbatore,WhatsApp,97,0
Bulk Order Inquiry,Residential,Color Consultation,"₹2,00,000 - ₹10,00,000",Urgent (Within 1 Week),Madurai,Email,145,2
General Feedback,Industrial,Color Consultation,"₹50,000 - ₹2,00,000",3+ Months,Coimbatore,Phone,165,0
Product Inquiry,Residential,Commercial Services,"₹10,000 - ₹50,000",3+ Months,Hyderabad,Email,68,0
Bulk Order Inquiry,Industrial,Maintenance Program,"₹50,000 - ₹2,00,000",1-4 Weeks,Pune,Email,346,0
Technical Support,Commercial,Interior Solutions,"Below ₹10,000",1-3 Months,Hyderabad,Email,153,0
Dealership Inquiry,Industrial,Special Effects & Textures,"₹50,000 - ₹2,00,000",1-3 Months,Coimbatore,WhatsApp,129,0
General Feedback,Industrial,Interior Solutions,"Above ₹10,00,000",3+ Months,Coimbatore,Phone,235,1
Product Inquiry,Residential,Maintenance Program,"₹10,000 - ₹50,000",1-3 Months,Delhi,Phone,282,0
Bulk Order Inquiry,Industrial,Exterior Solutions,"Below ₹10,000",1-4 Weeks,Coimbatore,WhatsApp,69,0
Dealership Inquiry,Industrial,Color Consultation,"₹10,000 - ₹50,000",1-4 Weeks,Kochi,Phone,209,0
Product Inquiry,Commercial,Special Effects & Textures,"₹50,000 - ₹2,00,000",Urgent (Within 1 Week),Madurai,WhatsApp,177,0
Product Inquiry,Industrial,Special Effects & Textures,"Below ₹10,000",1-3 Months,Trivandrum,Email,340,0
General Feedback,Residential,Professional Painting,"₹2,00,000 - ₹10,00,000",1-4 Weeks,Bengaluru,WhatsApp,47,1
Other,Industrial,Professional Painting,"₹10,000 - ₹50,000",1-4 Weeks,Coimbatore,Email,349,0
Dealership Inquiry,Industrial,Interior Solutions,"₹2,00,000 - ₹10,00,000",1-4 Weeks,Hyderabad,Phone,313,1
Technical Support,Commercial,Professional Painting,"₹2,00,000 - ₹10,00,000",1-4 Weeks,Pune,Phone,280,1
General Feedback,Residential,Interior Solutions,"₹50,000 - ₹2,00,000",1-4 Weeks,Trivandrum,WhatsApp,114,0
Dealership Inquiry,Residential,Exterior Solutions,"₹10,000 - ₹50,000",Urgent (Within 1 Week),Madurai,Email,208,1
General Feedback,Commercial,Special Effects & Textures,"₹50,000 - ₹2,00,000",1-3 Months,Kochi,Phone,171,0
Product Inquiry,Commercial,Professional Painting,"₹2,00,000 - ₹10,00,000",Urgent (Within 1 Week),Trivandrum,WhatsApp,319,1
Other,Industrial,Color Consultation,"₹50,000 - ₹2,00,000",1-3 Months,Chennai,Phone,78,0
Product Inquiry,Residential,Professional Painting,"₹50,000 - ₹2,00,000",Urgent (Within 1 Week),Trivandrum,Phone,117,0
Technical Support,Industrial,Exterior Solutions,"₹50,000 - ₹2,00,000",1-3 Months,Chennai,Email,287,0
Dealership Inquiry,Industrial,Interior Solutions,"₹10,000 - ₹50,000",Urgent (Within 1 Week),Chennai,WhatsApp,180,1
Bulk Order Inquiry,Residential,Color Consultation,"₹50,000 - ₹2,00,000",1-3 Months,Trivandrum,Email,131,0
Product Inquiry,Commercial,Maintenance Program,"₹50,000 - ₹2,00,000",1-4 Weeks,Coimbatore,Email,221,0
Technical Support,Commercial,Special Effects & Textures,"₹10,000 - ₹50,000",1-3 Months,Bengaluru,WhatsApp,155,0
Other,Commercial,Exterior Solutions,"₹50,000 - ₹2,00,000",Urgent (Within 1 Week),Trivandrum,Phone,247,0
Product Inquiry,Commercial,Special Effects & Textures,"Below ₹10,000",Urgent (Within 1 Week),Pune,WhatsApp,295,0
Other,Residential,Professional Painting,"Above ₹10,00,000",3+ Months,Madurai,Phone,61,1
Product Inquiry,Industrial,Commercial Services,"Above ₹10,00,000",1-3 Months,Chennai,Email,183,1
Other,Residential,Maintenance Program,"₹10,000 - ₹50,000",3+ Months,Coimbatore,Email,340,0
Product Inquiry,Industrial,Commercial Services,"₹50,000 - ₹2,00,000",1-3 Months,Pune,Phone,239,0
Bulk Order Inquiry,Industrial,Special Effects & Textures,"Below ₹10,000",3+ Months,Pune,Email,80,0
Product Inquiry,Industrial,Commercial Services,"₹10,000 - ₹50,000",Urgent (Within 1 Week),Coimbatore,Phone,349,0
Product Inquiry,Residential,Interior Solutions,"₹10,000 - ₹50,000",3+ Months,Trivandrum,Phone,291,0
General Feedback,Industrial,Interior Solutions,"₹50,000 - ₹2,00,000",1-3 Months,Delhi,WhatsApp,83,0
Product Inquiry,Industrial,Exterior Solutions,"₹10,000 - ₹50,000",1-4 Weeks,Pune,Phone,118,0
Product Inquiry,Commercial,Color Consultation,"Below ₹10,000",1-4 Weeks,Mumbai,Email,224,0
Product Inquiry,Residential,Color Consultation,"₹10,000 - ₹50,000",1-3 Months,Bengaluru,Phone,248,0
Dealership Inquiry,Residential,Interior Solutions,"₹50,000 - ₹2,00,000",1-3 Months,Coimbatore,Phone,237,0
Bulk Order Inquiry,Industrial,Commercial Services,"₹50,000 - ₹2,00,000",1-3 Months,Mumbai,WhatsApp,164,0
Technical Support,Residential,Color Consultation,"Below ₹10,000",1-4 Weeks,Mumbai,Phone,292,0
Product Inquiry,Commercial,Professional Painting,"₹10,000 - ₹50,000",1-3 Months,Kochi,WhatsApp,224,0
Dealership Inquiry,Commercial,Interior Solutions,"₹10,000 - ₹50,000",Urgent (Within 1 Week),Madurai,Phone,43,1
Bulk Order Inquiry,Residential,Interior Solutions,"₹10,000 - ₹50,000",1-4 Weeks,Pune,WhatsApp,344,0
Other,Commercial,Interior Solutions,"₹10,000 - ₹50,000",1-4 Weeks,Kochi,WhatsApp,243,0
Bulk Order Inquiry,Commercial,Color Consultation,"₹10,000 - ₹50,000",1-4 Weeks,Madurai,Email,241,0
Dealership Inquiry,Residential,Special Effects & Textures,"₹50,000 - ₹2,00,000",1-3 Months,Kochi,WhatsApp,321,0
Product Inquiry,Commercial,Special Effects & Textures,"₹2,00,000 - ₹10,00,000",1-3 Months,Kochi,Email,75,1
Dealership Inquiry,Commercial,Color Consultation,"₹10,000 - ₹50,000",1-3 Months,Kochi,WhatsApp,256,0
General Feedback,Industrial,Color Consultation,"₹10,000 - ₹50,000",1-4 Weeks,Pune,WhatsApp,254,0
Bulk Order Inquiry,Residential,Maintenance Program,"₹50,000 - ₹2,00,000",1-3 Months,Delhi,WhatsApp,83,0
Dealership Inquiry,Industrial,Special Effects & Textures,"Below ₹10,000",1-3 Months,Coimbatore,Phone,328,1
Other,Residential,Commercial Services,"₹10,000 - ₹50,000",Urgent (Within 1 Week),Trivandrum,WhatsApp,172,0
Dealership Inquiry,Commercial,Maintenance Program,"₹50,000 - ₹2,00,000",1-4 Weeks,Madurai,WhatsApp,240,0
Dealership Inquiry,Commercial,Exterior Solutions,"₹10,000 - ₹50,000",Urgent (Within 1 Week),Bengaluru,Email,93,1
Bulk Order Inquiry,Commercial,Maintenance Program,"₹50,000 - ₹2,00,000",1-4 Weeks,Delhi,WhatsApp,215,0
General Feedback,Commercial,Color Consultation,"₹10,000 - ₹50,000",1-4 Weeks,Hyderabad,Email,271,0
Bulk Order Inquiry,Industrial,Maintenance Program,"Below ₹10,000",1-3 Months,Mumbai,WhatsApp,95,0
Product Inquiry,Commercial,Exterior Solutions,"Below ₹10,000",Urgent (Within 1 Week),Delhi,Phone,326,0
Dealership Inquiry,Residential,Special Effects & Textures,"Below ₹10,000",1-3 Months,Madurai,Email,242,0
General Feedback,Residential,Interior Solutions,"₹10,000 - ₹50,000",Urgent (Within 1 Week),Bengaluru,WhatsApp,149,0
Product Inquiry,Residential,Exterior Solutions,"₹2,00,000 - ₹10,00,000",Urgent (Within 1 Week),Bengaluru,Phone,206,1
Dealership Inquiry,Industrial,Exterior Solutions,"₹10,000 - ₹50,000",3+ Months,Madurai,Phone,200,0
Dealership Inquiry,Industrial,Special Effects & Textures,"₹10,000 - ₹50,000",1-3 Months,Hyderabad,WhatsApp,128,0
Dealership Inquiry,Commercial,Color Consultation,"₹50,000 - ₹2,00,000",1-4 Weeks,Mumbai,Phone,162,0
Dealership Inquiry,Industrial,Exterior Solutions,"₹50,000 - ₹2,00,000",1-4 Weeks,Coimbatore,Email,110,0
General Feedback,Industrial,Professional Painting,"₹50,000 - ₹2,00,000",3+ Months,Kochi,Phone,128,0
Product Inquiry,Commercial,Color Consultation,"₹10,000 - ₹50,000",1-4 Weeks,Kochi,Email,67,0
Product Inquiry,Commercial,Special Effects & Textures,"₹10,000 - ₹50,000",1-3 Months,Kochi,Phone,293,0
Bulk Order Inquiry,Residential,Maintenance Program,"₹10,000 - ₹50,000",Urgent (Within 1 Week),Delhi,Phone,329,1
Product Inquiry,Industrial,Special Effects & Textures,"₹10,000 - ₹50,000",1-4 Weeks,Kochi,WhatsApp,274,0
Dealership Inquiry,Commercial,Commercial Services,"₹50,000 - ₹2,00,000",1-4 Weeks,Chennai,WhatsApp,318,0
General Feedback,Commercial,Maintenance Program,"₹10,000 - ₹50,000",1-4 Weeks,Chennai,Phone,166,0
Product Inquiry,Residential,Professional Painting,"₹2,00,000 - ₹10,00,000",Urgent (Within 1 Week),Madurai,WhatsApp,100,1
Technical Support,Industrial,Professional Painting,"₹50,000 - ₹2,00,000",1-3 Months,Delhi,Email,124,0
Bulk Order Inquiry,Industrial,Professional Painting,"₹50,000 - ₹2,00,000",1-4 Weeks,Pune,WhatsApp,345,0
Product Inquiry,Industrial,Maintenance Program,"₹50,000 - ₹2,00,000",3+ Months,Bengaluru,Email,303,0
Other,Industrial,Professional Painting,"₹2,00,000 - ₹10,00,000",3+ Months,Mumbai,Email,181,1
Product Inquiry,Commercial,Professional Painting,"₹10,000 - ₹50,000",1-4 Weeks,Madurai,WhatsApp,241,0
Product Inquiry,Commercial,Commercial Services,"₹10,000 - ₹50,000",1-4 Weeks,Hyderabad,WhatsApp,87,0
Other,Industrial,Color Consultation,"₹10,000 - ₹50,000",3+ Months,Bengaluru,WhatsApp,207,0
Other,Industrial,Exterior Solutions,"₹50,000 - ₹2,00,000",1-3 Months,Delhi,Phone,72,0
Bulk Order Inquiry,Commercial,Commercial Services,"₹10,000 - ₹50,000",1-4 Weeks,Madurai,Email,185,0
Dealership Inquiry,Residential,Color Consultation,"₹10,000 - ₹50,000",1-4 Weeks,Kochi,Email,64,0
Product Inquiry,Commercial,Professional Painting,"₹2,00,000 - ₹10,00,000",1-4 Weeks,Mumbai,WhatsApp,40,1
Technical Support,Industrial,Interior Solutions,"₹2,00,000 - ₹10,00,000",3+ Months,Hyderabad,Email,87,1
Technical Support,Industrial,Interior Solutions,"Above ₹10,00,000",Urgent (Within 1 Week),Delhi,Phone,242,2
Dealership Inquiry,Residential,Professional Painting,"₹50,000 - ₹2,00,000",Urgent (Within 1 Week),Madurai,Email,284,1
Dealership Inquiry,Residential,Maintenance Program,"₹10,000 - ₹50,000",Urgent (Within 1 Week),Coimbatore,WhatsApp,215,1
Product Inquiry,Residential,Interior Solutions,"Below ₹10,000",1-4 Weeks,Pune,Phone,92,0
Product Inquiry,Industrial,Special Effects & Textures,"₹2,00,000 - ₹10,00,000",1-3 Months,Mumbai,Email,108,1
Dealership Inquiry,Commercial,Special Effects & Textures,"Below ₹10,000",1-3 Months,Delhi,WhatsApp,265,0
Bulk Order Inquiry,Residential,Color Consultation,"Above ₹10,00,000",1-3 Months,Bengaluru,Email,266,1
Bulk Order Inquiry,Commercial,Maintenance Program,"₹50,000 - ₹2,00,000",1-4 Weeks,Mumbai,Email,259,0
Product Inquiry,Industrial,Commercial Services,"Below ₹10,000",1-3 Months,Hyderabad,WhatsApp,347,0
Product Inquiry,Industrial,Commercial Services,"₹2,00,000 - ₹10,00,000",3+ Months,Trivandrum,Email,145,1
Bulk Order Inquiry,Commercial,Exterior Solutions,"₹10,000 - ₹50,000",Urgent (Within 1 Week),Bengaluru,Email,162,1
General Feedback,Commercial,Interior Solutions,"₹50,000 - ₹2,00,000",1-4 Weeks,Mumbai,Phone,46,0
Bulk Order Inquiry,Commercial,Maintenance Program,"₹50,000 - ₹2,00,000",1-4 Weeks,Bengaluru,Email,128,0
Dealership Inquiry,Commercial,Commercial Services,"Below ₹10,000",1-4 Weeks,Hyderabad,WhatsApp,70,0
Bulk Order Inquiry,Residential,Special Effects & Textures,"₹2,00,000 - ₹10,00,000",1-4 Weeks,Trivandrum,WhatsApp,245,1
Dealership Inquiry,Residential,Maintenance Program,"₹10,000 - ₹50,000",1-4 Weeks,Mumbai,WhatsApp,301,0
Technical Support,Commercial,Special Effects & Textures,"₹50,000 - ₹2,00,000",1-3 Months,Coimbatore,WhatsApp,73,0
Other,Residential,Exterior Solutions,"₹10,000 - ₹50,000",1-4 Weeks,Madurai,WhatsApp,262,0
Product Inquiry,Residential,Color Consultation,"₹50,000 - ₹2,00,000",1-3 Months,Mumbai,WhatsApp,129,0
Product Inquiry,Industrial,Interior Solutions,"₹10,000 - ₹50,000",1-4 Weeks,Mumbai,Phone,304,0
Product Inquiry,Residential,Interior Solutions,"₹2,00,000 - ₹10,00,000",1-4 Weeks,Coimbatore,Phone,100,1
Dealership Inquiry,Commercial,Exterior Solutions,"₹10,000 - ₹50,000",3+ Months,Trivandrum,Phone,79,0
Product Inquiry,Commercial,Maintenance Program,"₹2,00,000 - ₹10,00,000",Urgent (Within 1 Week),Bengaluru,WhatsApp,120,1
Dealership Inquiry,Residential,Maintenance Program,"Below ₹10,000",1-3 Months,Chennai,Email,41,0
Product Inquiry,Residential,Commercial Services,"₹10,000 - ₹50,000",3+ Months,Coimbatore,Email,131,0
Technical Support,Residential,Commercial Services,"₹10,000 - ₹50,000",1-3 Months,Pune,Email,178,0
Dealership Inquiry,Residential,Exterior Solutions,"Above ₹10,00,000",Urgent (Within 1 Week),Bengaluru,Phone,304,2
Bulk Order Inquiry,Industrial,Exterior Solutions,"₹2,00,000 - ₹10,00,000",1-4 Weeks,Chennai,Phone,84,1
Product Inquiry,Commercial,Interior Solutions,"₹50,000 - ₹2,00,000",1-4 Weeks,Madurai,Phone,164,0
Other,Residential,Professional Painting,"₹2,00,000 - ₹10,00,000",1-3 Months,Chennai,Phone,319,1
Product Inquiry,Commercial,Color Consultation,"₹50,000 - ₹2,00,000",1-3 Months,Coimbatore,WhatsApp,44,0
Bulk Order Inquiry,Commercial,Exterior Solutions,"Below ₹10,000",1-4 Weeks,Chennai,Email,161,0
Bulk Order Inquiry,Commercial,Special Effects & Textures,"Below ₹10,000",3+ Months,Pune,Phone,306,0
Other,Industrial,Maintenance Program,"Below ₹10,000",Urgent (Within 1 Week),Coimbatore,Email,108,0
Dealership Inquiry,Residential,Interior Solutions,"Below ₹10,000",1-3 Months,Hyderabad,Phone,106,0
Other,Commercial,Exterior Solutions,"₹10,000 - ₹50,000",1-3 Months,Hyderabad,Email,207,0
Product Inquiry,Residential,Professional Painting,"₹10,000 - ₹50,000",1-3 Months,Bengaluru,Email,339,0
General Feedback,Residential,Exterior Solutions,"₹10,000 - ₹50,000",Urgent (Within 1 Week),Hyderabad,Phone,223,0
Product Inquiry,Industrial,Special Effects & Textures,"Below ₹10,000",Urgent (Within 1 Week),Madurai,Email,195,0
Product Inquiry,Commercial,Exterior Solutions,"₹2,00,000 - ₹10,00,000",Urgent (Within 1 Week),Trivandrum,Email,167,1
Dealership Inquiry,Commercial,Maintenance Program,"₹10,000 - ₹50,000",3+ Months,Kochi,WhatsApp,55,0
Bulk Order Inquiry,Residential,Color Consultation,"₹10,000 - ₹50,000",1-4 Weeks,Chennai,Email,111,0
Product Inquiry,Industrial,Commercial Services,"₹2,00,000 - ₹10,00,000",1-4 Weeks,Hyderabad,Email,83,1
Product Inquiry,Residential,Color Consultation,"Below ₹10,000",3+ Months,Pune,Email,267,0
Product Inquiry,Commercial,Maintenance Program,"₹10,000 - ₹50,000",Urgent (Within 1 Week),Coimbatore,Phone,333,0
Product Inquiry,Residential,Interior Solutions,"₹50,000 - ₹2,00,000",Urgent (Within 1 Week),Hyderabad,Phone,149,1
Bulk Order Inquiry,Industrial,Interior Solutions,"Below ₹10,000",1-3 Months,Kochi,Phone,165,0
Bulk Order Inquiry,Residential,Exterior Solutions,"₹10,000 - ₹50,000",Urgent (Within 1 Week),Delhi,WhatsApp,236,1
Bulk Order Inquiry,Residential,Exterior Solutions,"₹50,000 - ₹2,00,000",1-3 Months,Pune,Phone,318,0
Dealership Inquiry,Commercial,Exterior Solutions,"₹10,000 - ₹50,000",3+ Months,Hyderabad,Email,297,0
Product Inquiry,Residential,Maintenance Program,"₹50,000 - ₹2,00,000",Urgent (Within 1 Week),Kochi,WhatsApp,183,0
Technical Support,Residential,Professional Painting,"₹50,000 - ₹2,00,000",1-4 Weeks,Delhi,Phone,121,0
Dealership Inquiry,Industrial,Maintenance Program,"₹2,00,000 - ₹10,00,000",1-3 Months,Coimbatore,Phone,152,1
Other,Industrial,Interior Solutions,"Above ₹10,00,000",Urgent (Within 1 Week),Pune,WhatsApp,161,1
Product Inquiry,Residential,Commercial Services,"₹50,000 - ₹2,00,000",3+ Months,Delhi,Phone,328,0
Dealership Inquiry,Residential,Commercial Services,"Below ₹10,000",Urgent (Within 1 Week),Delhi,Email,68,1
Dealership Inquiry,Residential,Interior Solutions,"Below ₹10,000",3+ Months,Mumbai,Phone,143,0
Product Inquiry,Residential,Maintenance Program,"Below ₹10,000",1-3 Months,Trivandrum,Phone,112,0
Other,Industrial,Color Consultation,"₹10,000 - ₹50,000",3+ Months,Pune,Phone,242,0
Technical Support,Industrial,Exterior Solutions,"Above ₹10,00,000",1-3 Months,Pune,Email,263,1
Bulk Order Inquiry,Residential,Special Effects & Textures,"₹50,000 - ₹2,00,000",3+ Months,Madurai,Email,222,0
Technical Support,Industrial,Color Consultation,"₹50,000 - ₹2,00,000",1-4 Weeks,Madurai,Phone,130,0
Bulk Order Inquiry,Industrial,Interior Solutions,"₹2,00,000 - ₹10,00,000",1-3 Months,Madurai,Email,133,1
Dealership Inquiry,Industrial,Color Consultation,"Below ₹10,000",1-4 Weeks,Delhi,Phone,209,0
Other,Industrial,Special Effects & Textures,"Below ₹10,000",3+ Months,Pune,Phone,85,0
Product Inquiry,Commercial,Maintenance Program,"₹10,000 - ₹50,000",1-3 Months,Bengaluru,WhatsApp,219,0
Product Inquiry,Commercial,Exterior Solutions,"₹10,000 - ₹50,000",1-3 Months,Coimbatore,Phone,125,0
Dealership Inquiry,Industrial,Maintenance Program,"Below ₹10,000",1-4 Weeks,Delhi,Email,335,0
General Feedback,Commercial,Interior Solutions,"₹2,00,000 - ₹10,00,000",Urgent (Within 1 Week),Bengaluru,Email,50,1
Technical Support,Industrial,Color Consultation,"₹2,00,000 - ₹10,00,000",Urgent (Within 1 Week),Pune,WhatsApp,78,1
Other,Industrial,Professional Painting,"₹2,00,000 - ₹10,00,000",1-3 Months,Madurai,Phone,260,1
Product Inquiry,Commercial,Special Effects & Textures,"Below ₹10,000",1-4 Weeks,Trivandrum,WhatsApp,137,0
Other,Residential,Color Consultation,"₹50,000 - ₹2,00,000",1-3 Months,Chennai,Phone,192,0
Dealership Inquiry,Residential,Exterior Solutions,"₹2,00,000 - ₹10,00,000",Urgent (Within 1 Week),Bengaluru,Phone,224,2
Bulk Order Inquiry,Residential,Professional Painting,"₹50,000 - ₹2,00,000",1-4 Weeks,Mumbai,WhatsApp,89,0
Product Inquiry,Commercial,Exterior Solutions,"Below ₹10,000",1-3 Months,Kochi,WhatsApp,197,0
Product Inquiry,Commercial,Interior Solutions,"₹50,000 - ₹2,00,000",1-4 Weeks,Mumbai,Phone,229,0
Product Inquiry,Industrial,Color Consultation,"₹10,000 - ₹50,000",1-4 Weeks,Mumbai,WhatsApp,177,0
Dealership Inquiry,Commercial,Maintenance Program,"Below ₹10,000",1-4 Weeks,Madurai,Email,317,0
Dealership Inquiry,Industrial,Special Effects & Textures,"₹2,00,000 - ₹10,00,000",1-3 Months,Kochi,WhatsApp,254,2
